surah_number,surah_name_ar,surah_name_en,page_start,page_end,ayah_count,revelation_type
1,الفاتحة,Al-Fatihah,1,1,7,meccan
2,البقرة,Al-Baqarah,2,49,286,medinan
3,آل عمران,Aal-E-Imran,50,76,200,medinan
4,النساء,An-Nisa,77,106,176,medinan
5,المائدة,Al-Ma'idah,106,127,120,medinan
6,الأنعام,Al-An'am,128,150,165,meccan
7,الأعراف,Al-A'raf,151,176,206,meccan
8,الأنفال,Al-Anfal,177,186,75,medinan
9,التوبة,At-Tawbah,187,207,129,medinan
10,يونس,Yunus,208,220,109,meccan
11,هود,Hud,221,234,123,meccan
12,يوسف,Yusuf,235,248,111,meccan
13,الرعد,Ar-Ra'd,249,254,43,medinan
14,إبراهيم,Ibrahim,255,261,52,meccan
15,الحجر,Al-Hijr,262,266,99,meccan
16,النحل,An-Nahl,267,281,128,meccan
17,الإسراء,Al-Isra,282,292,111,meccan
18,الكهف,Al-Kahf,293,304,110,meccan
19,مريم,Maryam,305,311,98,meccan
20,طه,Ta-Ha,312,321,135,meccan
21,الأنبياء,Al-Anbiya,322,331,112,meccan
22,الحج,Al-Hajj,332,341,78,medinan
23,المؤمنون,Al-Mu’minun,342,349,118,meccan
24,النور,An-Nur,350,358,64,medinan
25,الفرقان,Al-Furqan,359,366,77,meccan
26,الشعراء,Ash-Shu'ara,367,376,227,meccan
27,النمل,An-Naml,377,384,93,meccan
28,القصص,Al-Qasas,385,395,88,meccan
29,العنكبوت,Al-Ankabut,396,403,69,meccan
30,الروم,Ar-Rum,404,410,60,meccan
31,لقمان,Luqman,411,414,34,meccan
32,السجدة,As-Sajdah,415,417,30,meccan
33,الأحزاب,Al-Ahzab,418,427,73,medinan
34,سبأ,Saba,428,433,54,meccan
35,فاطر,Fatir,434,439,45,meccan
36,يس,Ya-Sin,440,445,83,meccan
37,الصافات,As-Saffat,446,452,182,meccan
38,ص,Sad,453,457,88,meccan
39,الزمر,Az-Zumar,458,466,75,meccan
40,غافر,Ghafir,467,476,85,meccan
41,فصلت,Fussilat,477,482,54,meccan
42,الشورى,Ash-Shura,483,488,53,meccan
43,الزخرف,Az-Zukhruf,489,495,89,meccan
44,الدخان,Ad-Dukhan,496,498,59,meccan
45,الجاثية,Al-Jathiyah,499,501,37,meccan
46,الأحقاف,Al-Ahqaf,502,506,35,meccan
47,محمد,Muhammad,507,510,38,medinan
48,الفتح,Al-Fath,511,514,29,medinan
49,الحجرات,Al-Hujurat,515,517,18,medinan
50,ق,Qaf,518,519,45,meccan
51,الذاريات,Adh-Dhariyat,520,522,60,meccan
52,الطور,At-Tur,523,525,49,meccan
53,النجم,An-Najm,526,527,62,meccan
54,القمر,Al-Qamar,528,530,55,meccan
55,الرحمن,Ar-Rahman,531,533,78,medinan
56,الواقعة,Al-Waqi’ah,534,536,96,meccan
57,الحديد,Al-Hadid,537,541,29,medinan
58,المجادلة,Al-Mujadilah,542,544,22,medinan
59,الحشر,Al-Hashr,545,548,24,medinan
60,الممتحنة,Al-Mumtahanah,549,550,13,medinan
61,الصف,As-Saff,551,552,14,medinan
62,الجمعة,Al-Jumu’ah,553,553,11,medinan
63,المنافقون,Al-Munafiqun,554,555,11,medinan
64,التغابن,At-Taghabun,556,557,18,medinan
65,الطلاق,At-Talaq,558,559,12,medinan
66,التحريم,At-Tahrim,560,561,12,medinan
67,الملك,Al-Mulk,562,563,30,meccan
68,القلم,Al-Qalam,564,565,52,meccan
69,الحاقة,Al-Haqqah,566,567,52,meccan
70,المعارج,Al-Ma'arij,568,569,44,meccan
71,نوح,Nuh,570,571,28,meccan
72,الجن,Al-Jinn,572,573,28,meccan
73,المزمل,Al-Muzzammil,574,574,20,meccan
74,المدثر,Al-Muddathir,575,576,56,meccan
75,القيامة,Al-Qiyamah,577,577,40,meccan
76,الإنسان,Al-Insan,578,579,31,medinan
77,المرسلات,Al-Mursalat,580,581,50,meccan
78,النبأ,An-Naba,582,582,40,meccan
79,النازعات,An-Nazi’at,583,584,46,meccan
80,عبس,Abasa,585,585,42,meccan
81,التكوير,At-Takwir,586,586,29,meccan
82,الانفطار,Al-Infitar,587,587,19,meccan
83,المطففين,Al-Mutaffifin,587,588,36,meccan
84,الانشقاق,Al-Inshiqaq,589,589,25,meccan
85,البروج,Al-Buruj,590,590,22,meccan
86,الطارق,At-Tariq,591,591,17,meccan
87,الأعلى,Al-A’la,591,592,19,meccan
88,الغاشية,Al-Ghashiyah,592,593,26,meccan
89,الفجر,Al-Fajr,593,594,30,meccan
90,البلد,Al-Balad,594,595,20,meccan
91,الشمس,Ash-Shams,595,595,15,meccan
92,الليل,Al-Layl,595,596,21,meccan
93,الضحى,Ad-Duha,596,596,11,meccan
94,الشرح,Ash-Sharh,596,597,8,meccan
95,التين,At-Tin,597,597,8,meccan
96,العلق,Al-Alaq,597,598,19,meccan
97,القدر,Al-Qadr,598,598,5,meccan
98,البينة,Al-Bayyinah,598,599,8,medinan
99,الزلزلة,Az-Zalzalah,599,599,8,medinan
100,العاديات,Al-Adiyat,599,600,11,meccan
101,القارعة,Al-Qari’ah,600,600,11,meccan
102,التكاثر,At-Takathur,600,601,8,meccan
103,العصر,Al-Asr,601,601,3,meccan
104,الهمزة,Al-Humazah,601,601,9,meccan
105,الفيل,Al-Fil,601,602,5,meccan
106,قريش,Quraysh,602,602,4,meccan
107,الماعون,Al-Ma’un,602,602,7,meccan
108,الكوثر,Al-Kawthar,602,602,3,meccan
109,الكافرون,Al-Kafirun,603,603,6,meccan
110,النصر,An-Nasr,603,603,3,medinan
111,المسد,Al-Masad,603,603,5,meccan
112,الإخلاص,Al-Ikhlas,604,604,4,meccan
113,الفلق,Al-Falaq,604,604,5,meccan
114,الناس,An-Nas,604,604,6,meccan